'''

'year'  'count'

NOAA National Centers for Environmental Information, State of the Climate: Tornadoes for Annual 2020, published online January 2021, retrieved on August 4, 2021 from https://www.ncdc.noaa.gov/sotc/tornadoes/202013.

'''
2019 1517
2018 1126
2017 1429
2016 976
2015 1177
2014 886
2013 906
2012 938
2011 1691
2010 1282
2009 1146
2008 1692
2007 1100
2006 1106
2005 1262
2004 1813
2003 1385
2002 934
2001 1212
2000 1073
1999 1342
1998 1428
1997 1149
1996 1172
1995 1236
1994 1085
1993 1174
1992 1302
1991 1133
1990 1140
1989 859
1988 700
1987 658
1986 765
1985 687
1984 912
1983 930
1982 1049
1981 782
1980 866
1979 859
1978 789
1977 854
1976 837
1975 918
1974 951
1973 1104
1972 740
1971 888
1970 654
1969 607
1968 661
1967 927
1966 585
1965 900
1964 706
1963 462
1962 656
1961 698
1960 616
1959 602
1958 564
1957 857
1956 504
1955 591
1954 550
1953 422
1952 240
1951 260
1950 201
